#"Step","Potential Energy (kJ/mole)","Temperature (K)","Harmonic Bond Energy (kJ/mol)","Harmonic Angle Energy (kJ/mol)","Periodic Torsion Energy (kJ/mol)","LJ 12-10 Contact Energy (kJ/mol)","LJ 12 Repulsion Energy (kJ/mol)"
1700,-109.63157653808594,51.07594772095518,13.975592613220215,13.34070873260498,5.252211570739746,-145.0028839111328,2.8027844429016113
1800,-113.01338958740234,63.03946155594696,14.557876586914062,8.24289321899414,5.9911699295043945,-144.15003967285156,2.3447155952453613
1900,-105.18988800048828,57.36278057529325,15.243976593017578,13.069643020629883,6.618549346923828,-142.0537109375,1.931662917137146
2000,-112.26757049560547,63.952292044628905,14.589828491210938,8.191288948059082,5.343039035797119,-142.39427185058594,2.0025482177734375
2100,-108.05075073242188,58.46467180609644,17.652286529541016,10.809674263000488,3.979872703552246,-142.49559020996094,2.003011465072632
2200,-110.18172454833984,66.01481137876127,15.554675102233887,12.977158546447754,5.186859130859375,-147.00390625,3.1034936904907227
2300,-112.8236083984375,66.87437207981826,14.884041786193848,12.883289337158203,3.4820444583892822,-146.14419555664062,2.0712153911590576
2400,-104.40633392333984,63.77783839051707,14.302440643310547,12.87606143951416,4.485492706298828,-138.3299560546875,2.2596287727355957
2500,-106.86908721923828,71.19923856747671,13.537605285644531,18.082744598388672,5.692961692810059,-146.82725524902344,2.6448612213134766
2600,-104.0048599243164,74.68049879690714,18.145431518554688,14.275012969970703,3.221804141998291,-141.95753479003906,2.310431480407715
2700,-102.09679412841797,73.64729669314902,16.267776489257812,16.228530883789062,5.333301067352295,-142.9232940673828,2.9968883991241455
2800,-102.03325653076172,80.63263267975553,13.944984436035156,17.05536651611328,4.906037330627441,-140.19984436035156,2.260197162628174
2900,-91.62527465820312,72.23188948473714,19.446205139160156,16.7321834564209,6.865846157073975,-137.11856079101562,2.449047327041626
3000,-91.24755859375,74.50997885992733,17.236419677734375,21.156064987182617,6.186930179595947,-137.7263946533203,1.8994200229644775
3100,-92.5946044921875,75.2409553424674,15.678813934326172,18.45361328125,6.341551780700684,-134.9966278076172,1.9280469417572021
3200,-89.29448699951172,85.44125801975997,19.254297256469727,20.77022361755371,7.901506423950195,-140.92893981933594,3.708421230316162
3300,-87.14510345458984,90.59196641759196,18.77145767211914,22.163219451904297,8.29914379119873,-139.57752990722656,3.198605537414551
3400,-99.40328216552734,106.33657938287814,18.11037254333496,15.938457489013672,4.90128755569458,-140.39076232910156,2.037374973297119
3500,-87.95245361328125,93.07323482197478,17.769359588623047,23.130022048950195,9.313360214233398,-140.02145385742188,1.8562638759613037
3600,-70.93508911132812,73.67178182147208,20.214088439941406,24.03417205810547,12.05180549621582,-129.54139709472656,2.306231737136841
3700,-83.2436294555664,94.43976498658179,23.64011001586914,22.30533218383789,6.378719806671143,-137.1230010986328,1.5552022457122803
3800,-82.2455825805664,88.25822647923832,23.26339340209961,20.14228057861328,7.012141227722168,-134.69546508789062,2.032076120376587
3900,-74.15680694580078,80.77482563939137,24.17365264892578,24.90606689453125,8.109950065612793,-133.85279846191406,2.5063250064849854
4000,-77.34111022949219,81.5209065459772,23.200199127197266,25.048229217529297,6.122134208679199,-133.56393432617188,1.852252721786499
4100,-72.35962677001953,92.11604624541798,22.739469528198242,25.46489715576172,8.517005920410156,-131.27662658691406,2.1956377029418945
4200,-78.9116439819336,100.24902127706378,21.796913146972656,26.41423797607422,8.772019386291504,-138.30519104003906,2.410374164581299
4300,-95.95880889892578,118.99586931797116,18.673227310180664,17.142608642578125,4.829354286193848,-139.9314727783203,3.3274853229522705
4400,-82.08929443359375,98.22208853536004,25.26568603515625,16.00644874572754,5.147185325622559,-131.21763610839844,2.709016799926758
4500,-79.3267822265625,93.6733165047881,22.290241241455078,20.888378143310547,7.22806453704834,-132.0486297607422,2.315166473388672
4600,-73.03656005859375,84.67986320292873,27.428319931030273,19.982555389404297,10.16290283203125,-132.93809509277344,2.3277621269226074
4700,-67.94610595703125,82.04888986961319,32.9383544921875,17.587234497070312,11.175653457641602,-131.3991241455078,1.751774549484253
4800,-76.46479034423828,86.43761231075518,29.089452743530273,21.54688262939453,6.8469977378845215,-135.81356811523438,1.8654377460479736
4900,-84.88663482666016,97.38777965598064,22.792104721069336,18.639251708984375,6.871956825256348,-135.5677947998047,2.377840518951416
